'Station','date:time',Depth,'Quality Code','Temperature'
'AKUL232','19900622T1200',0150,'',-4.60962
'AKUL232','19900623T1200',0150,'',-4.50746
'AKUL232','19900624T1200',0150,'',-4.50746
'AKUL232','19900625T1200',0150,'',-4.46642
'AKUL232','19900626T1200',0150,'',-4.02946
'AKUL232','19900627T1200',0150,'',-3.96611
'AKUL232','19900628T1200',0150,'',-3.96611
'AKUL232','19900630T1200',0150,'',-3.86000
'AKUL232','19900703T1200',0150,'',-3.55935
'AKUL232','19900704T1200',0150,'',-3.53767
'AKUL232','19900705T1200',0150,'',-3.45067
'AKUL232','19900708T1200',0150,'',-3.29736
'AKUL232','19900712T1200',0150,'',-3.03130
'AKUL232','19900714T1200',0150,'',-2.91921
'AKUL232','19900715T1200',0150,'',-2.87417
'AKUL232','19900716T1200',0150,'',-2.82901
'AKUL232','19900718T1200',0150,'',-2.71559
'AKUL232','19900719T1200',0150,'',-2.64717
'AKUL232','19900720T1200',0150,'',-2.57849
'AKUL232','19900722T1200',0150,'',-2.44028
'AKUL232','19900724T1200',0150,'',-2.39396
'AKUL232','19900726T1200',0150,'',-2.30095
'AKUL232','19900727T1200',0150,'',-2.25426
'AKUL232','19900731T1200',0150,'',-2.08983
'AKUL232','19900802T1200',0150,'',-2.01888
'AKUL232','19900804T1200',0150,'',-1.97141
'AKUL232','19900806T1200',0150,'',-1.87609
'AKUL232','19900807T1200',0150,'',-1.85217
'AKUL232','19900808T1200',0150,'',-1.80425
'AKUL232','19900809T1200',0150,'',-1.61120
'AKUL232','19900810T1200',0150,'',-1.51386
'AKUL232','19900811T1200',0150,'',-1.48944
'AKUL232','19900814T1200',0150,'',-1.44050
'AKUL232','19900817T1200',0150,'',-1.41598
'AKUL232','19900821T1200',0150,'',-1.39142
'AKUL232','19900825T1200',0150,'',-1.36682
'AKUL232','19900828T1200',0150,'',-1.31753
'AKUL232','19900831T1200',0150,'',-1.29283
'AKUL232','19900903T1200',0150,'',-1.06894
'AKUL232','19900909T1200',0150,'',-0.99366
'AKUL232','19900912T1200',0150,'',-1.04388
'AKUL232','19900914T1200',0150,'',-1.06894
'AKUL232','19900917T1200',0150,'',-1.04388
'AKUL232','19900918T1200',0150,'',-1.04388
'AKUL232','19900920T1200',0150,'',-0.99366
'AKUL232','19900926T1200',0150,'',-0.99366
'AKUL232','19900927T1200',0150,'',-0.96850
'AKUL232','19900930T1200',0150,'',-0.96850
'AKUL232','19901002T1200',0150,'',-0.94330
'AKUL232','19901003T1200',0150,'',-0.94330
'AKUL232','19901005T1200',0150,'',-0.94330
'AKUL232','19901007T1200',0150,'',-0.91806
'AKUL232','19901009T1200',0150,'',-0.91806
'AKUL232','19901012T1200',0150,'',-0.89278
'AKUL232','19901014T1200',0150,'',-0.89278
'AKUL232','19901015T1200',0150,'',-0.89278
'AKUL232','19901017T1200',0150,'',-0.89278
'AKUL232','19901021T1200',0150,'',-0.86747
'AKUL232','19901022T1200',0150,'',-0.86747
'AKUL232','19901023T1200',0150,'',-0.86747
'AKUL232','19901024T1200',0150,'',-0.86747
'AKUL232','19901026T1200',0150,'',-0.86747
'AKUL232','19901027T1200',0150,'',-0.86747
'AKUL232','19901029T1200',0150,'',-0.84212
'AKUL232','19901030T1200',0150,'',-0.86747
'AKUL232','19901031T1200',0150,'',-0.84212
'AKUL232','19901101T1200',0150,'',-0.84212
'AKUL232','19901106T1200',0150,'',-0.84212
'AKUL232','19901109T1200',0150,'',-0.84212
'AKUL232','19901111T1200',0150,'',-0.81673
'AKUL232','19901112T1200',0150,'',-0.81673
'AKUL232','19901117T1200',0150,'',-0.79131
'AKUL232','19901123T1200',0150,'',-0.81673
'AKUL232','19901125T1200',0150,'',-0.79131
'AKUL232','19901130T1200',0150,'',-0.89278
'AKUL232','19920423T1200',0150,'',-11.50675
'AKUL232','19920427T1200',0150,'',-11.39876
'AKUL232','19920430T1200',0150,'',-11.23541
'AKUL232','19920514T1200',0150,'',-10.16114
'AKUL232','19920519T1200',0150,'',-9.52065
'AKUL232','19920606T1200',0150,'',-6.27660
'AKUL232','19920611T1200',0150,'',-5.42488
'AKUL232','19920706T1200',0150,'',-2.96414
'AKUL232','19920725T1200',0150,'',-1.99516
'AKUL232','19920806T1200',0150,'',-1.68385
'AKUL232','19920813T1200',0150,'',-1.36682
'AKUL232','19920817T1200',0150,'',-1.34219
'AKUL232','19920827T1200',0150,'',-1.01879
'AKUL232','19920831T1200',0150,'',-0.89278
'AKUL232','19920906T1200',0150,'',-0.96850
'AKUL232','19920913T1200',0150,'',-0.91806
'AKUL232','19920917T1200',0150,'',-0.86747
'AKUL232','19921112T1200',0150,'',-0.71482
'AKUL232','19930520T1200',0150,'',-8.93315
'AKUL232','19930527T1200',0150,'',-6.64173
'AKUL232','19930531T1200',0150,'',-5.78976
'AKUL232','19930617T1200',0150,'',-3.75323
'AKUL232','19930623T1200',0150,'',-3.34130
'AKUL232','19930708T1200',0150,'',-2.46339
'AKUL232','19930715T1200',0150,'',-2.11342
'AKUL232','19930720T1200',0150,'',-1.89997
'AKUL232','19930802T1200',0150,'',-1.39142
'AKUL232','19930805T1200',0150,'',-1.31753
'AKUL232','19930828T1200',0150,'',-0.76330
'AKUL232','20020909T0200',0150,'',-0.63256
'AKUL232','20040622T1200',0150,'',-3.26135
'AKUL232','20040831T1200',0150,'',-0.65565
'AKUL232','20041019T1200',0150,'',-0.36874
'AKUL232','20050627T1200',0150,'',-1.77972
'AKUL232','20050802T1200',0150,'',-0.90255
'AKUL232','20060929T1200',0150,'',-0.19851
'AKUL232','20071015T1200',0150,'',-0.26418
'AKUL232','20081012T0000',0150,'',-0.17744
'AKUL232','20091014T0000',0150,'',-0.22480
'AKUL232','20101017T0000',0150,'',-0.01330
'AKUL232','20110923T0000',0150,'',-0.10086
'AKUL232','19900621T1200',050,'',-1.06894
'AKUL232','19900622T1200',050,'',-0.94330
'AKUL232','19900623T1200',050,'',-0.89278
'AKUL232','19900624T1200',050,'',-0.89278
'AKUL232','19900625T1200',050,'',-0.86747
'AKUL232','19900626T1200',050,'',-0.48330
'AKUL232','19900627T1200',050,'',-0.30107
'AKUL232','19900628T1200',050,'',-0.43143
'AKUL232','19900630T1200',050,'',-0.37940
'AKUL232','19900703T1200',050,'',-0.11692
'AKUL232','19900704T1200',050,'',-0.06394
'AKUL232','19900705T1200',050,'',-0.06394
'AKUL232','19900708T1200',050,'',0.09594
'AKUL232','19900712T1200',050,'',0.66738
'AKUL232','19900714T1200',050,'',0.77837
'AKUL232','19900715T1200',050,'',1.11563
'AKUL232','19900716T1200',050,'',1.86933
'AKUL232','19900718T1200',050,'',1.98820
'AKUL232','19900719T1200',050,'',2.13792
'AKUL232','19900720T1200',050,'',2.41065
'AKUL232','19900722T1200',050,'',2.07788
'AKUL232','19900724T1200',050,'',1.72186
'AKUL232','19900726T1200',050,'',1.92866
'AKUL232','19900727T1200',050,'',1.78070
'AKUL232','19900731T1200',050,'',1.48844
'AKUL232','19900802T1200',050,'',1.92866
'AKUL232','19900804T1200',050,'',2.16801
'AKUL232','19900806T1200',050,'',2.31927
'AKUL232','19900807T1200',050,'',2.28892
'AKUL232','19900808T1200',050,'',2.41065
'AKUL232','19900809T1200',050,'',2.50251
'AKUL232','19900810T1200',050,'',2.04793
'AKUL232','19900811T1200',050,'',2.22836
'AKUL232','19900814T1200',050,'',2.50251
'AKUL232','19900817T1200',050,'',2.62572
'AKUL232','19900821T1200',050,'',2.19816
'AKUL232','19900825T1200',050,'',2.93756
'AKUL232','19900828T1200',050,'',2.34968
'AKUL232','19900831T1200',050,'',2.81217
'AKUL232','19900903T1200',050,'',2.59484
'AKUL232','19900909T1200',050,'',1.98820
'AKUL232','19900912T1200',050,'',1.22950
'AKUL232','19900914T1200',050,'',0.72279
'AKUL232','19900917T1200',050,'',0.86208
'AKUL232','19900918T1200',050,'',1.11563
'AKUL232','19900920T1200',050,'',1.69251
'AKUL232','19900926T1200',050,'',0.44748
'AKUL232','19900927T1200',050,'',0.66738
'AKUL232','19900930T1200',050,'',0.25731
'AKUL232','19901002T1200',050,'',0.33856
'AKUL232','19901003T1200',050,'',0.20336
'AKUL232','19901005T1200',050,'',0.09594
'AKUL232','19901007T1200',050,'',0.01581
'AKUL232','19901009T1200',050,'',0.04248
'AKUL232','19901012T1200',050,'',0.04248
'AKUL232','19901014T1200',050,'',0.04248
'AKUL232','19901015T1200',050,'',0.04248
'AKUL232','19901017T1200',050,'',0.04248
'AKUL232','19901021T1200',050,'',0.04248
'AKUL232','19901022T1200',050,'',0.01581
'AKUL232','19901023T1200',050,'',0.01581
'AKUL232','19901024T1200',050,'',0.04248
'AKUL232','19901026T1200',050,'',0.01581
'AKUL232','19901027T1200',050,'',0.01581
'AKUL232','19901029T1200',050,'',0.01581
'AKUL232','19901030T1200',050,'',0.01581
'AKUL232','19901031T1200',050,'',-0.01081
'AKUL232','19901101T1200',050,'',-0.03740
'AKUL232','19901106T1200',050,'',-0.24865
'AKUL232','19901109T1200',050,'',-0.53501
'AKUL232','19901111T1200',050,'',-0.43143
'AKUL232','19901112T1200',050,'',-0.56081
'AKUL232','19901117T1200',050,'',-1.41598
'AKUL232','19901123T1200',050,'',-0.94330
'AKUL232','19901125T1200',050,'',-0.71482
'AKUL232','19901130T1200',050,'',-1.29283
'AKUL232','19920423T1200',050,'',-12.67468
'AKUL232','19920427T1200',050,'',-12.25614
'AKUL232','19920430T1200',050,'',-11.72062
'AKUL232','19920514T1200',050,'',-9.55100
'AKUL232','19920519T1200',050,'',-7.91072
'AKUL232','19920606T1200',050,'',-2.80639
'AKUL232','19920611T1200',050,'',-2.16049
'AKUL232','19920706T1200',050,'',0.80623
'AKUL232','19920725T1200',050,'',1.66321
'AKUL232','19920806T1200',050,'',2.78096
'AKUL232','19920813T1200',050,'',2.87476
'AKUL232','19920817T1200',050,'',3.87413
'AKUL232','19920827T1200',050,'',2.65666
'AKUL232','19920831T1200',050,'',2.68765
'AKUL232','19920906T1200',050,'',2.71870
'AKUL232','19920913T1200',050,'',1.63397
'AKUL232','19920917T1200',050,'',1.63397
'AKUL232','19921112T1200',050,'',-1.14389
'AKUL232','19930520T1200',050,'',-3.47246
'AKUL232','19930527T1200',050,'',-1.80425
'AKUL232','19930531T1200',050,'',-1.16880
'AKUL232','19930617T1200',050,'',-0.27488
'AKUL232','19930623T1200',050,'',-0.03740
'AKUL232','19930708T1200',050,'',1.95840
'AKUL232','19930715T1200',050,'',4.00726
'AKUL232','19930720T1200',050,'',5.00326
'AKUL232','19930802T1200',050,'',5.39600
'AKUL232','19930805T1200',050,'',5.14509
'AKUL232','19930828T1200',050,'',4.34109
'AKUL232','20020909T0200',050,'',4.05679
'AKUL232','20040622T1200',050,'',0.31696
'AKUL232','20040831T1200',050,'',4.23858
'AKUL232','20041019T1200',050,'',0.15508
'AKUL232','20050627T1200',050,'',2.42254
'AKUL232','20050802T1200',050,'',5.24060
'AKUL232','20060929T1200',050,'',2.71521
'AKUL232','20071015T1200',050,'',0.06935
'AKUL232','20081012T0000',050,'',1.33826
'AKUL232','20091014T0000',050,'',0.39575
'AKUL232','20101017T0000',050,'',1.35551
'AKUL232','20110923T0000',050,'',2.74318
'AKUL232','20040622T1200',0,'',15.67844
'AKUL232','20040831T1200',0,'',10.64763
'AKUL232','20041019T1200',0,'',-2.36085
'AKUL232','20050627T1200',0,'',9.32049
'AKUL232','20050802T1200',0,'',13.25623
'AKUL232','20060929T1200',0,'',6.44270
'AKUL232','20071015T1200',0,'',2.15871
'AKUL232','20081012T0000',0,'',-1.68818
'AKUL232','20091014T0000',0,'',-2.02779
'AKUL232','20101017T0000',0,'',2.90884
'AKUL232','20110923T0000',0,'',6.49631
'AKUL232','20040622T1200',0,'',17.03945
'AKUL232','20040831T1200',0,'',11.88072
'AKUL232','20041019T1200',0,'',-2.40029
'AKUL232','20050627T1200',0,'',12.07189
'AKUL232','20050802T1200',0,'',14.75218
'AKUL232','20060929T1200',0,'',7.37657
'AKUL232','20071015T1200',0,'',2.22203
'AKUL232','20081012T0000',0,'',-1.66885
'AKUL232','20091014T0000',0,'',-2.12697
'AKUL232','20101017T0000',0,'',2.96861
'AKUL232','20110923T0000',0,'',6.73183
'AKUL232','19900621T1200',1250,'',-4.69090
'AKUL232','19900622T1200',1250,'',-4.71116
'AKUL232','19900623T1200',1250,'',-4.71116
'AKUL232','19900624T1200',1250,'',-4.71116
'AKUL232','19900625T1200',1250,'',-4.71116
'AKUL232','19900626T1200',1250,'',-4.73140
'AKUL232','19900627T1200',1250,'',-4.73140
'AKUL232','19900628T1200',1250,'',-4.73140
'AKUL232','19900630T1200',1250,'',-4.73140
'AKUL232','19900703T1200',1250,'',-4.73140
'AKUL232','19900704T1200',1250,'',-4.73140
'AKUL232','19900705T1200',1250,'',-4.73140
'AKUL232','19900708T1200',1250,'',-4.73140
'AKUL232','19900712T1200',1250,'',-4.73140
'AKUL232','19900714T1200',1250,'',-4.73140
'AKUL232','19900715T1200',1250,'',-4.73140
'AKUL232','19900716T1200',1250,'',-4.73140
'AKUL232','19900718T1200',1250,'',-4.73140
'AKUL232','19900719T1200',1250,'',-4.73140
'AKUL232','19900720T1200',1250,'',-4.73140
'AKUL232','19900722T1200',1250,'',-4.73140
'AKUL232','19900724T1200',1250,'',-4.73140
'AKUL232','19900726T1200',1250,'',-4.73140
'AKUL232','19900727T1200',1250,'',-4.73140
'AKUL232','19900731T1200',1250,'',-4.73140
'AKUL232','19900802T1200',1250,'',-4.73140
'AKUL232','19900804T1200',1250,'',-4.73140
'AKUL232','19900806T1200',1250,'',-4.71116
'AKUL232','19900807T1200',1250,'',-4.73140
'AKUL232','19900808T1200',1250,'',-4.71116
'AKUL232','19900809T1200',1250,'',-4.69090
'AKUL232','19900810T1200',1250,'',-4.69090
'AKUL232','19900811T1200',1250,'',-4.69090
'AKUL232','19900814T1200',1250,'',-4.69090
'AKUL232','19900817T1200',1250,'',-4.69090
'AKUL232','19900821T1200',1250,'',-4.73140
'AKUL232','19900825T1200',1250,'',-4.71116
'AKUL232','19900828T1200',1250,'',-4.73140
'AKUL232','19900831T1200',1250,'',-4.73140
'AKUL232','19900903T1200',1250,'',-4.73140
'AKUL232','19900909T1200',1250,'',-4.73140
'AKUL232','19900912T1200',1250,'',-4.73140
'AKUL232','19900914T1200',1250,'',-4.73140
'AKUL232','19900917T1200',1250,'',-4.75161
'AKUL232','19900918T1200',1250,'',-4.75161
'AKUL232','19900920T1200',1250,'',-4.75161
'AKUL232','19900926T1200',1250,'',-4.75161
'AKUL232','19900927T1200',1250,'',-4.75161
'AKUL232','19900930T1200',1250,'',-4.75161
'AKUL232','19901002T1200',1250,'',-4.75161
'AKUL232','19901003T1200',1250,'',-4.75161
'AKUL232','19901005T1200',1250,'',-4.75161
'AKUL232','19901007T1200',1250,'',-4.75161
'AKUL232','19901009T1200',1250,'',-4.75161
'AKUL232','19901012T1200',1250,'',-4.75161
'AKUL232','19901014T1200',1250,'',-4.75161
'AKUL232','19901015T1200',1250,'',-4.75161
'AKUL232','19901017T1200',1250,'',-4.77180
'AKUL232','19901021T1200',1250,'',-4.75161
'AKUL232','19901022T1200',1250,'',-4.75161
'AKUL232','19901023T1200',1250,'',-4.75161
'AKUL232','19901024T1200',1250,'',-4.75161
'AKUL232','19901026T1200',1250,'',-4.75161
'AKUL232','19901027T1200',1250,'',-4.75161
'AKUL232','19901029T1200',1250,'',-4.75161
'AKUL232','19901030T1200',1250,'',-4.75161
'AKUL232','19901031T1200',1250,'',-4.75161
'AKUL232','19901101T1200',1250,'',-4.75161
'AKUL232','19901106T1200',1250,'',-4.75161
'AKUL232','19901109T1200',1250,'',-4.75161
'AKUL232','19901111T1200',1250,'',-4.75161
'AKUL232','19901112T1200',1250,'',-4.75161
'AKUL232','19901117T1200',1250,'',-4.73140
'AKUL232','19901123T1200',1250,'',-4.73140
'AKUL232','19901125T1200',1250,'',-4.73140
'AKUL232','19901130T1200',1250,'',-4.77180
'AKUL232','19920423T1200',1250,'',-4.93245
'AKUL232','19920427T1200',1250,'',-4.93245
'AKUL232','19920430T1200',1250,'',-4.93245
'AKUL232','19920514T1200',1250,'',-4.93245
'AKUL232','19920519T1200',1250,'',-4.93245
'AKUL232','19920606T1200',1250,'',-4.93245
'AKUL232','19920611T1200',1250,'',-4.93245
'AKUL232','19920706T1200',1250,'',-4.93245
'AKUL232','19920725T1200',1250,'',-4.93245
'AKUL232','19920806T1200',1250,'',-4.89243
'AKUL232','19920813T1200',1250,'',-4.87238
'AKUL232','19920827T1200',1250,'',-4.87238
'AKUL232','19920831T1200',1250,'',-4.85232
'AKUL232','19920906T1200',1250,'',-4.85232
'AKUL232','19920913T1200',1250,'',-4.91245
'AKUL232','19920917T1200',1250,'',-4.89243
'AKUL232','19921112T1200',1250,'',-4.89243
'AKUL232','19930520T1200',1250,'',-4.89243
'AKUL232','19930527T1200',1250,'',-4.89243
'AKUL232','19930531T1200',1250,'',-4.91245
'AKUL232','19930617T1200',1250,'',-4.87238
'AKUL232','19930623T1200',1250,'',-4.89243
'AKUL232','19930708T1200',1250,'',-4.89243
'AKUL232','19930715T1200',1250,'',-4.87238
'AKUL232','19930720T1200',1250,'',-4.89243
'AKUL232','19930802T1200',1250,'',-4.89243
'AKUL232','19930805T1200',1250,'',-4.89243
'AKUL232','19930828T1200',1250,'',-4.85834
'AKUL232','20020909T0200',1250,'',-3.82931
'AKUL232','20040622T1200',1250,'',-3.84849
'AKUL232','20040831T1200',1250,'',-3.80157
'AKUL232','20041019T1200',1250,'',-3.83145
'AKUL232','20050627T1200',1250,'',-3.83571
'AKUL232','20050802T1200',1250,'',-3.81865
'AKUL232','20060929T1200',1250,'',-3.81652
'AKUL232','20071015T1200',1250,'',-3.69661
'AKUL232','20081012T0000',1250,'',-3.61043
'AKUL232','20091014T0000',1250,'',-3.59963
'AKUL232','20101017T0000',1250,'',-3.54118
'AKUL232','20110923T0000',1250,'',-3.42150
'AKUL232','19900621T1200',1550,'',-4.56883
'AKUL232','19900622T1200',1550,'',-4.58923
'AKUL232','19900623T1200',1550,'',-4.58923
'AKUL232','19900624T1200',1550,'',-4.58923
'AKUL232','19900625T1200',1550,'',-4.60962
'AKUL232','19900626T1200',1550,'',-4.58923
'AKUL232','19900627T1200',1550,'',-4.60962
'AKUL232','19900628T1200',1550,'',-4.60962
'AKUL232','19900630T1200',1550,'',-4.60962
'AKUL232','19900703T1200',1550,'',-4.58923
'AKUL232','19900704T1200',1550,'',-4.60962
'AKUL232','19900705T1200',1550,'',-4.60962
'AKUL232','19900708T1200',1550,'',-4.60962
'AKUL232','19900712T1200',1550,'',-4.60962
'AKUL232','19900714T1200',1550,'',-4.60962
'AKUL232','19900715T1200',1550,'',-4.60962
'AKUL232','19900716T1200',1550,'',-4.60962
'AKUL232','19900718T1200',1550,'',-4.60962
'AKUL232','19900719T1200',1550,'',-4.60962
'AKUL232','19900720T1200',1550,'',-4.60962
'AKUL232','19900722T1200',1550,'',-4.60962
'AKUL232','19900724T1200',1550,'',-4.60962
'AKUL232','19900726T1200',1550,'',-4.60962
'AKUL232','19900727T1200',1550,'',-4.60962
'AKUL232','19900731T1200',1550,'',-4.60962
'AKUL232','19900802T1200',1550,'',-4.60962
'AKUL232','19900804T1200',1550,'',-4.60962
'AKUL232','19900806T1200',1550,'',-4.56883
'AKUL232','19900807T1200',1550,'',-4.52794
'AKUL232','19900808T1200',1550,'',-4.50746
'AKUL232','19900809T1200',1550,'',-4.50746
'AKUL232','19900810T1200',1550,'',-4.52794
'AKUL232','19900811T1200',1550,'',-4.52794
'AKUL232','19900814T1200',1550,'',-4.54839
'AKUL232','19900817T1200',1550,'',-4.56883
'AKUL232','19900821T1200',1550,'',-4.60962
'AKUL232','19900825T1200',1550,'',-4.58923
'AKUL232','19900828T1200',1550,'',-4.56883
'AKUL232','19900831T1200',1550,'',-4.60962
'AKUL232','19900903T1200',1550,'',-4.58923
'AKUL232','19900909T1200',1550,'',-4.56883
'AKUL232','19900912T1200',1550,'',-4.56883
'AKUL232','19900914T1200',1550,'',-4.58923
'AKUL232','19900917T1200',1550,'',-4.60962
'AKUL232','19900918T1200',1550,'',-4.60962
'AKUL232','19900920T1200',1550,'',-4.58923
'AKUL232','19900926T1200',1550,'',-4.56883
'AKUL232','19900927T1200',1550,'',-4.56883
'AKUL232','19900930T1200',1550,'',-4.60962
'AKUL232','19901002T1200',1550,'',-4.60962
'AKUL232','19901003T1200',1550,'',-4.62997
'AKUL232','19901005T1200',1550,'',-4.60962
'AKUL232','19901007T1200',1550,'',-4.60962
'AKUL232','19901009T1200',1550,'',-4.60962
'AKUL232','19901012T1200',1550,'',-4.60962
'AKUL232','19901014T1200',1550,'',-4.60962
'AKUL232','19901015T1200',1550,'',-4.60962
'AKUL232','19901017T1200',1550,'',-4.60962
'AKUL232','19901021T1200',1550,'',-4.60962
'AKUL232','19901022T1200',1550,'',-4.60962
'AKUL232','19901023T1200',1550,'',-4.60962
'AKUL232','19901024T1200',1550,'',-4.60962
'AKUL232','19901026T1200',1550,'',-4.60962
'AKUL232','19901027T1200',1550,'',-4.60962
'AKUL232','19901029T1200',1550,'',-4.60962
'AKUL232','19901030T1200',1550,'',-4.60962
'AKUL232','19901031T1200',1550,'',-4.60962
'AKUL232','19901101T1200',1550,'',-4.60962
'AKUL232','19901106T1200',1550,'',-4.60962
'AKUL232','19901109T1200',1550,'',-4.60962
'AKUL232','19901111T1200',1550,'',-4.60962
'AKUL232','19901112T1200',1550,'',-4.60962
'AKUL232','19901117T1200',1550,'',-4.58923
'AKUL232','19901123T1200',1550,'',-4.60962
'AKUL232','19901125T1200',1550,'',-4.60962
'AKUL232','19901130T1200',1550,'',-4.60962
'AKUL232','19920423T1200',1550,'',-4.75161
'AKUL232','19920427T1200',1550,'',-4.73140
'AKUL232','19920430T1200',1550,'',-4.73140
'AKUL232','19920514T1200',1550,'',-4.75161
'AKUL232','19920519T1200',1550,'',-4.75161
'AKUL232','19920606T1200',1550,'',-4.75161
'AKUL232','19920611T1200',1550,'',-4.75161
'AKUL232','19920706T1200',1550,'',-4.77180
'AKUL232','19920725T1200',1550,'',-4.77180
'AKUL232','19920806T1200',1550,'',-4.75161
'AKUL232','19920813T1200',1550,'',-4.71116
'AKUL232','19920817T1200',1550,'',-4.75161
'AKUL232','19920827T1200',1550,'',-4.69090
'AKUL232','19920831T1200',1550,'',-4.73140
'AKUL232','19920906T1200',1550,'',-4.73140
'AKUL232','19920913T1200',1550,'',-4.75161
'AKUL232','19920917T1200',1550,'',-4.73140
'AKUL232','19921112T1200',1550,'',-4.75161
'AKUL232','19930520T1200',1550,'',-4.75161
'AKUL232','19930527T1200',1550,'',-4.77180
'AKUL232','19930531T1200',1550,'',-4.77180
'AKUL232','19930617T1200',1550,'',-4.75161
'AKUL232','19930623T1200',1550,'',-4.75161
'AKUL232','19930708T1200',1550,'',-4.75161
'AKUL232','19930715T1200',1550,'',-4.73140
'AKUL232','19930720T1200',1550,'',-4.77180
'AKUL232','19930802T1200',1550,'',-4.77180
'AKUL232','19930805T1200',1550,'',-4.77180
'AKUL232','19930828T1200',1550,'',-4.93445
'AKUL232','20020909T0200',1550,'',-3.91014
'AKUL232','20040622T1200',1550,'',-3.86978
'AKUL232','20040831T1200',1550,'',-3.79730
'AKUL232','20041019T1200',1550,'',-3.79730
'AKUL232','20050627T1200',1550,'',-3.84210
'AKUL232','20050802T1200',1550,'',-3.82292
'AKUL232','20060929T1200',1550,'',-3.81438
'AKUL232','20071015T1200',1550,'',-3.73310
'AKUL232','20081012T0000',1550,'',-3.64280
'AKUL232','20091014T0000',1550,'',-3.61475
'AKUL232','20101017T0000',1550,'',-3.56718
'AKUL232','20110923T0000',1550,'',-3.48689
'AKUL232','19900621T1200',1750,'',-4.50746
'AKUL232','19900622T1200',1750,'',-4.50746
'AKUL232','19900623T1200',1750,'',-4.52794
'AKUL232','19900624T1200',1750,'',-4.52794
'AKUL232','19900625T1200',1750,'',-4.56883
'AKUL232','19900626T1200',1750,'',-4.56883
'AKUL232','19900627T1200',1750,'',-4.56883
'AKUL232','19900628T1200',1750,'',-4.56883
'AKUL232','19900630T1200',1750,'',-4.58923
'AKUL232','19900703T1200',1750,'',-4.58923
'AKUL232','19900704T1200',1750,'',-4.58923
'AKUL232','19900705T1200',1750,'',-4.58923
'AKUL232','19900708T1200',1750,'',-4.58923
'AKUL232','19900712T1200',1750,'',-4.58923
'AKUL232','19900714T1200',1750,'',-4.58923
'AKUL232','19900715T1200',1750,'',-4.58923
'AKUL232','19900716T1200',1750,'',-4.58923
'AKUL232','19900718T1200',1750,'',-4.58923
'AKUL232','19900719T1200',1750,'',-4.58923
'AKUL232','19900720T1200',1750,'',-4.58923
'AKUL232','19900722T1200',1750,'',-4.58923
'AKUL232','19900724T1200',1750,'',-4.54839
'AKUL232','19900726T1200',1750,'',-4.56883
'AKUL232','19900727T1200',1750,'',-4.58923
'AKUL232','19900731T1200',1750,'',-4.56883
'AKUL232','19900802T1200',1750,'',-4.58923
'AKUL232','19900804T1200',1750,'',-4.58923
'AKUL232','19900806T1200',1750,'',-4.56883
'AKUL232','19900807T1200',1750,'',-4.54839
'AKUL232','19900808T1200',1750,'',-4.54839
'AKUL232','19900809T1200',1750,'',-4.54839
'AKUL232','19900810T1200',1750,'',-4.56883
'AKUL232','19900811T1200',1750,'',-4.54839
'AKUL232','19900814T1200',1750,'',-4.56883
'AKUL232','19900817T1200',1750,'',-4.58923
'AKUL232','19900821T1200',1750,'',-4.58923
'AKUL232','19900825T1200',1750,'',-4.54839
'AKUL232','19900828T1200',1750,'',-4.56883
'AKUL232','19900831T1200',1750,'',-4.58923
'AKUL232','19900903T1200',1750,'',-4.56883
'AKUL232','19900909T1200',1750,'',-4.54839
'AKUL232','19900912T1200',1750,'',-4.56883
'AKUL232','19900914T1200',1750,'',-4.58923
'AKUL232','19900917T1200',1750,'',-4.58923
'AKUL232','19900918T1200',1750,'',-4.60962
